song_title,danceability,duration,energy,key
Batuque (Jeremy Sole & Atropolis Remix),1.836,229715,1.537,4
Mykonos (feat. Fleet Foxes),1.413,273545,1.555,11
So Destroyed (channeling Rage Peace),1.473,153973,1.865,1
Bitch,1.619,207301,1.641,8
Locket,1.544,181400,1.427,9
Apathy,1.379,325500,1.674,8
It All Feels Right,1.316,245880,1.748,2
Last Chance to Dance,1.857,222573,1.484,11
The Righteous One,1.389,215560,1.884,9
The New International Sound,1.519,282659,1.793,11
Like Lust,1.478,281774,1.6,5
Rhythm of Devotion,1.716,362413,1.643,2
Zion Gate Dub,1.736,190440,1.539,1
Enjoy The Silence - Remastered Version Original,1.651,253587,1.77,1
Sick Beat,1.746,179091,1.682,7
She a Go (feat. Spinn & Taso),1.444,217733,1.498,2
Lost You,1.736,218312,1.882,11
Norf Norf,1.915,183159,1.54,7
Eleven 11: / 11,1.75,229588,1.835,4
Buffalo,1.632,197963,1.519,1
Talk About,1.814,234640,1.83,11
Probably Nu It,1.893,142012,1.378,9
Mamacita,1.823,274320,1.768,11
Star,1.639,284080,1.749,1
Gooey,1.49,289307,1.376,11
Walk On By - Single Version,1.289,273000,1.523,6
Omen - Radio Edit,1.615,196817,1.781,5
Champagne Coast,1.818,292373,1.41,9
Running Back To You,1.775,423747,1.528,9
BKNY,1.393,261187,1.838,9
Pains,1.449,191425,1.416,1
Night Drive,1.595,224094,1.549,4
"Flex (Ooh, Ooh, Ooh)",1.728,176675,1.62,2
Indian Food,1.561,213786,1.896,2
Childs Play (feat. Chance the Rapper),1.758,216234,1.343,1
Lets Start the Dance,1.782,351707,1.938,11
Rollerskate,1.839,369067,1.48,6
Outro,1.226,247027,1.261,2
GrindinMy Whole Life,1.763,322093,1.623,2
Slyd,1.858,254920,1.717,1
The Moment,1.329,255413,1.814,7
R.I.C.O. (feat. Drake),1.727,197133,1.599,1
Black And White,1.318,182987,1.975,9
Fauxhammer,1.414,224812,1.989,2
Spiteful Nature,1.456,217133,1.97,1
We Wait,1.242,233796,1.96,1
Plague of Immortality (feat. Dean Lamb Of Archspire),1.472,229640,1.942,11
Arrogance,1.227,244181,1.921,1
Inferiority,1.444,268187,1.943,1
Senseless Order,1.17,319582,1.866,4
Advent,1.276,294034,1.919,1
Venomous,1.411,264107,1.988,1
Substance Affliction,1.398,200525,1.974,1
To Encompass and Eclipse,1.566,250647,1.986,1
Rope,1.39,192011,1.978,11
Permanent Intoxication,1.336,282401,1.983,11
Tremendous Strain,1.48,228923,1.984,3
Of Talons and Teeth,1.285,232999,1.989,7
Pitchblack,1.428,221776,1.997,8
Zerotonin 2,1.256,197684,1.98,3
False Hope,1.491,309734,1.928,9
1208,1.274,198011,1.925,1
Plagues,1.217,255725,1.98,5
Hear Me Out,1.261,149278,1.863,11
Down into the Abyss,1.517,256920,1.991,9
Dance of the Witch,1.258,282101,1.915,11
New World Slaughter,1.484,328000,1.98,1
FVNERAL MOON,1.387,300000,1.967,5
Beautiful Agony,1.424,271560,1.992,5
Ways Of Transfiguration,1.45,267000,1.986,1
Black Mammoth,1.222,278577,1.985,7
Solicitude,1.455,210426,1.973,1
The Call of Mighty,1.398,252005,1.955,7
Manufactured Existence,1.399,267209,1.877,11
Bastard Son,1.411,194000,1.921,6
The Shaping Sickness,1.219,246689,1.955,11
Drown Me in Blood,1.493,258868,1.964,1
Inferno,1.339,219317,1.958,9
Debris,1.458,184482,1.957,1
"I, the Weak",1.263,275719,1.896,6
American Dream,1.482,198947,1.968,6
Temptress,1.379,256114,1.979,9
Flag of the Beast,1.535,203500,1.974,11
Unanswered,1.329,135653,1.993,6
Be My Valentine (feat. Dickie Allen),1.162,200961,1.957,11
Prismatic Abyss,1.389,220558,1.985,1
Right In,1.636,180400,1.812,2
Bangarang (feat. Sirah),1.716,215253,1.972,7
Breakn' A Sweat,1.596,301987,1.921,11
The Devil's Den,1.616,292907,1.946,1
Right On Time,1.633,245053,1.926,11
Kyoto (feat. Sirah),1.615,200787,1.92,4
Skrillex Orchestral Suite By Varien - Bonus Track,1.176,414747,1.479,7
Satellite,1.385,232716,1.414,8
Nosedive,1.68,231679,1.593,1
PIZZA,1.726,212409,1.889,6
aaaaaaaaaaaa,1.741,193217,1.219,11
Stardust,1.587,246457,1.554,1
Burning youth,1.321,128340,1.751,9
Wi Ing Wi Ing,1.697,193605,1.692,7
Wonder,1.483,229261,1.524,11
I'll Pick You Up,1.498,221293,1.436,6
VAMOS,1.635,183781,1.575,11
Feel The Volume,1.725,230400,1.918,11
Water Me (feat. Leon Ware),1.749,308947,1.422,1
Kathy Lee,1.771,248991,1.248,5
Love Buzz,1.69,225533,1.548,11
Beautiful Life (feat. Action Bronson & Joey Bada$$),1.648,201848,1.887,1
Auditorium,1.413,274480,1.742,11
Disco Devil,1.664,472013,1.727,1
Frontier Psychiatrist,1.714,288347,1.894,6
Had Ten Dollaz,1.554,252140,1.749,11
Sometimes,1.446,241800,1.752,6
VHS Sex,1.612,265133,1.628,1
Ambling Alp,1.587,235440,1.866,9
All Day And All Of The Night,1.551,141493,1.952,7
Strychnine,1.331,133093,1.957,7
Who Is He (And What Is He to You?),1.912,194040,1.317,6
Acamar,1.697,236456,1.915,6
It Looks Like Love,1.883,382015,1.333,5
Freak Connection - Edit,1.733,232375,1.87,1
"I'll Be Good - 12"" Mix",1.813,446307,1.579,11
Here I Come (Broader Than Broadway),1.698,223191,1.515,4
Swords,1.677,144280,1.915,6
Hands On The Wheel,1.648,197800,1.862,1
Kush High,1.65,190734,1.448,5
